num,cell,port,function,safe,ccell,disval,rslt,acio,toggle,differential,pinmap,channel
0,bc_4,*,delay,0,,,,,,,,
1,bc_1,*,control,1,,,,,,,,
2,bc_8,FBRK_OUT_N,bidir,X,1,1,Z,FALSE,TRUE,,try_pin,TRUE
3,bc_1,*,control,1,,,,,,,,
4,bc_8,TRIGGER_OUT,bidir,X,3,1,Z,FALSE,TRUE,,demo_pin,TRUE
5,bc_1,*,control,1,,,,,,,,
6,bc_8,TRIGGER_IN,bidir,X,5,1,Z,FALSE,TRUE,,trigger_in,TRUE
7,bc_1,*,control,1,,,,,,,,
8,bc_8,CRASHLOG_TRIG_N,bidir,X,7,1,Z,FALSE,TRUE,,crashlog_trig_n,TRUE
9,bc_1,*,control,1,,,,,,,,
10,bc_8,PM_SPARE1,bidir,X,9,1,Z,FALSE,TRUE,,pm_spare1,TRUE
11,bc_1,*,control,1,,,,,,,,
12,bc_8,PM_SPARE0,bidir,X,11,1,Z,FALSE,TRUE,,pm_spare0,TRUE
13,bc_1,*,control,1,,,,,,,,
14,bc_8,CPUPWRGD,bidir,X,13,1,Z,FALSE,TRUE,,cpupwrgd,TRUE
15,bc_1,*,control,1,,,,,,,,
16,bc_8,PREQB,bidir,X,15,1,Z,FALSE,TRUE,,preqb,TRUE
17,bc_1,*,control,1,,,,,,,,
18,bc_8,PRDYB,bidir,X,17,1,Z,FALSE,TRUE,,prdyb,TRUE
19,bc_1,*,control,1,,,,,,,,
20,bc_8,GPP_I_16_ISH_GP_11,bidir,X,19,1,Z,FALSE,TRUE,,gpp_i_16_ish_gp_11,TRUE
21,bc_1,*,control,1,,,,,,,,
22,bc_8,GPP_I_15_ISH_I2C0_SCL_ISH_I3C0_SCL,bidir,X,21,1,Z,FALSE,TRUE,,gpp_i_15_ish_i2c0_scl_ish_i3c0_scl,TRUE
23,bc_1,*,control,1,,,,,,,,
24,bc_8,GPP_I_14_ISH_I2C0_SDA_ISH_I3C0_SDA,bidir,X,23,1,Z,FALSE,TRUE,,gpp_i_14_ish_i2c0_sda_ish_i3c0_sda,TRUE
25,bc_1,*,control,1,,,,,,,,
26,bc_8,GPP_I_13_GSPI1_MOSI,bidir,X,25,1,Z,FALSE,TRUE,,gpp_i_13_gspi1_mosi,TRUE
27,bc_1,*,control,1,,,,,,,,
28,bc_8,GPP_I_12_GSPI1_MISO_NFC_CLKREQ,bidir,X,27,1,Z,FALSE,TRUE,,gpp_i_12_gspi1_miso_nfc_clkreq,TRUE
29,bc_1,*,control,1,,,,,,,,
30,bc_8,GPP_I_11_GSPI1_CLK_NFC_CLK,bidir,X,29,1,Z,FALSE,TRUE,,gpp_i_11_gspi1_clk_nfc_clk,TRUE
31,bc_1,*,control,1,,,,,,,,
32,bc_8,GPP_I_10_GSPI1_CS0B,bidir,X,31,1,Z,FALSE,TRUE,,gpp_i_10_gspi1_cs0b,TRUE
33,bc_1,*,control,1,,,,,,,,
34,bc_8,GPP_I_9_GSPI0_MOSI,bidir,X,33,1,Z,FALSE,TRUE,,gpp_i_9_gspi0_mosi,TRUE
35,bc_1,*,control,1,,,,,,,,
36,bc_8,GPP_I_8_GSPI0_MISO,bidir,X,35,1,Z,FALSE,TRUE,,gpp_i_8_gspi0_miso,TRUE
37,bc_1,*,control,1,,,,,,,,
38,bc_8,GPP_I_7_GSPI0_CLK,bidir,X,37,1,Z,FALSE,TRUE,,gpp_i_7_gspi0_clk,TRUE
39,bc_1,*,control,1,,,,,,,,
40,bc_8,GPP_I_6_GSPI0_CS0B,bidir,X,39,1,Z,FALSE,TRUE,,gpp_i_6_gspi0_cs0b,TRUE
41,bc_1,*,control,1,,,,,,,,
42,bc_8,GPP_I_5_I2C1_SCL,bidir,X,41,1,Z,FALSE,TRUE,,gpp_i_5_i2c1_scl,TRUE
43,bc_1,*,control,1,,,,,,,,
44,bc_8,GPP_I_4_I2C1_SDA,bidir,X,43,1,Z,FALSE,TRUE,,gpp_i_4_i2c1_sda,TRUE
45,bc_1,*,control,1,,,,,,,,
46,bc_8,GPP_I_3_I2C0_SCL_I3C0_SCL,bidir,X,45,1,Z,FALSE,TRUE,,gpp_i_3_i2c0_scl_i3c0_scl,TRUE
47,bc_1,*,control,1,,,,,,,,
48,bc_8,GPP_I_2_I2C0_SDA_I3C0_SDA,bidir,X,47,1,Z,FALSE,TRUE,,gpp_i_2_i2c0_sda_i3c0_sda,TRUE
49,bc_1,*,control,1,,,,,,,,
50,bc_8,GPP_I_1_GSPI1_CS1B,bidir,X,49,1,Z,FALSE,TRUE,,gpp_i_1_gspi1_cs1b,TRUE
51,bc_1,*,control,1,,,,,,,,
52,bc_8,GPP_I_0_GSPI0_CS1B,bidir,X,51,1,Z,FALSE,TRUE,,gpp_i_0_gspi0_cs1b,TRUE
53,bc_1,*,internal,1,,,,,,,,
54,bc_1,*,internal,1,,,,,,,,
55,bc_1,*,internal,1,,,,,,,,
56,bc_1,*,internal,1,,,,,,,,
57,bc_1,*,internal,1,,,,,,,,
58,bc_1,*,internal,1,,,,,,,,
59,bc_1,*,internal,1,,,,,,,,
60,bc_1,*,internal,1,,,,,,,,
61,bc_1,*,internal,1,,,,,,,,
62,bc_1,*,internal,1,,,,,,,,
63,bc_1,*,internal,0,,,,,,,,
64,bc_4,*,segment select,1,,,,,,,,
65,bc_4,*,delay,0,,,,,,,,
66,bc_1,*,control,1,,,,,,,,
67,bc_8,DSW_SPARE,bidir,X,66,1,Z,FALSE,TRUE,,dsw_spare,TRUE
68,bc_1,*,control,1,,,,,,,,
69,bc_8,WAKEB,bidir,X,68,1,Z,FALSE,TRUE,,wakeb,TRUE
70,bc_1,*,control,1,,,,,,,,
71,bc_8,SLP_SUSB,bidir,X,70,1,Z,FALSE,TRUE,,slp_susb,TRUE
72,bc_1,*,control,1,,,,,,,,
73,bc_8,SLP_LANB,bidir,X,72,1,Z,FALSE,TRUE,,slp_lanb,TRUE
74,bc_1,*,control,1,,,,,,,,
75,bc_8,GPD_12,bidir,X,74,1,Z,FALSE,TRUE,,gpd_12,TRUE
76,bc_1,*,control,1,,,,,,,,
77,bc_8,GPD_11_LANPHYPC,bidir,X,76,1,Z,FALSE,TRUE,,gpd_11_lanphypc,TRUE
78,bc_1,*,control,1,,,,,,,,
79,bc_8,GPD_10_SLP_S5B,bidir,X,78,1,Z,FALSE,TRUE,,gpd_10_slp_s5b,TRUE
80,bc_1,*,control,1,,,,,,,,
81,bc_8,GPD_9_SLP_WLANB,bidir,X,80,1,Z,FALSE,TRUE,,gpd_9_slp_wlanb,TRUE
82,bc_1,*,control,1,,,,,,,,
83,bc_8,GPD_8_SUSCLK,bidir,X,82,1,Z,FALSE,TRUE,,gpd_8_susclk,TRUE
84,bc_1,*,control,1,,,,,,,,
85,bc_8,GPD_7,bidir,X,84,1,Z,FALSE,TRUE,,gpd_7,TRUE
86,bc_1,*,control,1,,,,,,,,
87,bc_8,GPD_6_SLP_AB,bidir,X,86,1,Z,FALSE,TRUE,,gpd_6_slp_ab,TRUE
88,bc_1,*,control,1,,,,,,,,
89,bc_8,GPD_5_SLP_S4B,bidir,X,88,1,Z,FALSE,TRUE,,gpd_5_slp_s4b,TRUE
90,bc_1,*,control,1,,,,,,,,
91,bc_8,GPD_4_SLP_S3B,bidir,X,90,1,Z,FALSE,TRUE,,gpd_4_slp_s3b,TRUE
92,bc_1,*,control,1,,,,,,,,
93,bc_8,GPD_3_PWRBTNB,bidir,X,92,1,Z,FALSE,TRUE,,gpd_3_pwrbtnb,TRUE
94,bc_1,*,control,1,,,,,,,,
95,bc_8,GPD_2_LAN_WAKEB,bidir,X,94,1,Z,FALSE,TRUE,,gpd_2_lan_wakeb,TRUE
96,bc_1,*,control,1,,,,,,,,
97,bc_8,GPD_1_ACPRESENT,bidir,X,96,1,Z,FALSE,TRUE,,gpd_1_acpresent,TRUE
98,bc_1,*,control,1,,,,,,,,
99,bc_8,GPD_0_BATLOWB,bidir,X,98,1,Z,FALSE,TRUE,,gpd_0_batlowb,TRUE
100,bc_1,*,internal,1,,,,,,,,
101,bc_1,*,internal,0,,,,,,,,
102,bc_4,*,segment select,1,,,,,,,,
103,bc_4,*,delay,0,,,,,,,,
104,bc_4,*,internal,1,,,,,,,,
105,bc_4,RTESTB,input,X,,,,FALSE,FALSE,,rtestb,TRUE
106,bc_4,*,internal,1,,,,,,,,
107,bc_4,RSMRSTB,input,X,,,,FALSE,FALSE,,rsmrstb,TRUE
108,bc_4,*,segment select,1,,,,,,,,
109,bc_4,*,delay,0,,,,,,,,
110,bc_4,*,internal,1,,,,,,,,
111,bc_4,INTRUDERB,input,X,,,,FALSE,FALSE,,intruderb,TRUE
112,bc_4,*,segment select,1,,,,,,,,
113,bc_4,*,delay,0,,,,,,,,
