bsdl pin,rtl pin,socket pin,channel available
FBRK_OUT_N,fbrk_out_n,IP_PCH::FBRK_OUT_N,1
TRIGGER_OUT,trigger_out,IP_PCH::TRIGGER_OUT,1
TRIGGER_IN,trigger_in,IP_PCH::TRIGGER_IN,1
CRASHLOG_TRIG_N,crashlog_trig_n,IP_PCH::CRASHLOG_TRIG_N,1
PM_SPARE1,pm_spare1,IP_PCH::PM_SPARE1,1
PM_SPARE0,pm_spare0,IP_PCH::PM_SPARE0,1
CPUPWRGD,cpupwrgd,IP_PCH::CPUPWRGD,1
PREQB,preqb,IP_PCH::PREQB,1
PRDYB,prdyb,IP_PCH::PRDYB,1
GPP_I_16_ISH_GP_11,gpp_i_16_ish_gp_11,IP_PCH::GPP_I_16_ISH_GP_11,1
GPP_I_15_ISH_I2C0_SCL_ISH_I3C0_SCL,gpp_i_15_ish_i2c0_scl_ish_i3c0_scl,IP_PCH::GPP_I_15_ISH_I2C0_SCL_ISH_I3C0_SCL,1
GPP_I_14_ISH_I2C0_SDA_ISH_I3C0_SDA,gpp_i_14_ish_i2c0_sda_ish_i3c0_sda,IP_PCH::GPP_I_14_ISH_I2C0_SDA_ISH_I3C0_SDA,1
GPP_I_13_GSPI1_MOSI,gpp_i_13_gspi1_mosi,IP_PCH::GPP_I_13_GSPI1_MOSI,1
GPP_I_12_GSPI1_MISO_NFC_CLKREQ,gpp_i_12_gspi1_miso_nfc_clkreq,IP_PCH::GPP_I_12_GSPI1_MISO_NFC_CLKREQ,1
GPP_I_11_GSPI1_CLK_NFC_CLK,gpp_i_11_gspi1_clk_nfc_clk,IP_PCH::GPP_I_11_GSPI1_CLK_NFC_CLK,1
GPP_I_10_GSPI1_CS0B,gpp_i_10_gspi1_cs0b,IP_PCH::GPP_I_10_GSPI1_CS0B,1
GPP_I_9_GSPI0_MOSI,gpp_i_9_gspi0_mosi,IP_PCH::GPP_I_9_GSPI0_MOSI,1
GPP_I_8_GSPI0_MISO,gpp_i_8_gspi0_miso,IP_PCH::GPP_I_8_GSPI0_MISO,1
GPP_I_7_GSPI0_CLK,gpp_i_7_gspi0_clk,IP_PCH::GPP_I_7_GSPI0_CLK,1
GPP_I_6_GSPI0_CS0B,gpp_i_6_gspi0_cs0b,IP_PCH::GPP_I_6_GSPI0_CS0B,1
GPP_I_5_I2C1_SCL,gpp_i_5_i2c1_scl,IP_PCH::GPP_I_5_I2C1_SCL,1
GPP_I_4_I2C1_SDA,gpp_i_4_i2c1_sda,IP_PCH::GPP_I_4_I2C1_SDA,1
GPP_I_3_I2C0_SCL_I3C0_SCL,gpp_i_3_i2c0_scl_i3c0_scl,IP_PCH::GPP_I_3_I2C0_SCL_I3C0_SCL,1
GPP_I_2_I2C0_SDA_I3C0_SDA,gpp_i_2_i2c0_sda_i3c0_sda,IP_PCH::GPP_I_2_I2C0_SDA_I3C0_SDA,1
GPP_I_1_GSPI1_CS1B,gpp_i_1_gspi1_cs1b,IP_PCH::GPP_I_1_GSPI1_CS1B,1
GPP_I_0_GSPI0_CS1B,gpp_i_0_gspi0_cs1b,IP_PCH::GPP_I_0_GSPI0_CS1B,1
DSW_SPARE,dsw_spare,IP_PCH::DSW_SPARE,1
